epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1057.03,0.54647,0.54479,1.13169,0.93432,0.94623,0.995,0.81928,0.81973,0.84684,1.75051,0.000834822,0.000834822,0.000834822
44,1086.48,0.60206,0.57058,1.15568,0.96681,1,0.995,0.8193,0.83833,0.78021,1.85279,0.000820675,0.000820675,0.000820675
45,1123.85,0.5509,0.54502,1.14459,0.97453,1,0.995,0.79253,0.86928,0.79314,1.93907,0.000806528,0.000806528,0.000806528
46,1164.33,0.54261,0.53552,1.16086,0.89973,0.92251,0.995,0.78371,0.94134,1.07451,2.17794,0.00079238,0.00079238,0.00079238
47,1203.34,0.61002,0.52154,1.18007,0.89597,0.9743,0.995,0.7912,1.03533,0.88115,2.30708,0.000778233,0.000778233,0.000778233
48,1237.01,0.60014,0.53559,1.18473,0.93769,0.95012,0.995,0.72862,1.13174,0.82177,2.45601,0.000764086,0.000764086,0.000764086
49,1274.27,0.56294,0.49155,1.14668,0.97141,0.99476,0.995,0.77013,1.05086,0.7815,2.21447,0.000749939,0.000749939,0.000749939
50,1310.64,0.58128,0.50434,1.16593,0.97238,1,0.995,0.72523,1.10294,0.77035,2.22666,0.000735792,0.000735792,0.000735792
51,1343.13,0.55886,0.50699,1.16489,0.92852,0.95725,0.995,0.75442,1.02904,0.823,2.1314,0.000721645,0.000721645,0.000721645
52,1373.37,0.54068,0.49114,1.12753,0.94693,0.99431,0.995,0.78614,0.96063,0.76324,2.02985,0.000707498,0.000707498,0.000707498
53,1403.68,0.56134,0.49281,1.11612,0.96358,1,0.995,0.78484,0.92958,0.70392,1.91865,0.000693351,0.000693351,0.000693351
54,1436.22,0.55879,0.48099,1.12899,0.94426,0.99342,0.995,0.80407,0.85203,0.67857,1.8245,0.000679204,0.000679204,0.000679204
55,1463.73,0.53271,0.50146,1.13339,0.97208,1,0.995,0.80406,0.90508,0.63589,1.92725,0.000665057,0.000665057,0.000665057
56,1494.22,0.5294,0.48089,1.1077,0.97623,1,0.995,0.76857,0.9893,0.66367,2.03079,0.000650909,0.000650909,0.000650909
57,1521.4,0.56963,0.49827,1.13625,0.96292,0.99608,0.995,0.77696,0.99064,0.705,2.00128,0.000636762,0.000636762,0.000636762
58,1548.63,0.50183,0.47769,1.13118,0.97754,0.88889,0.9675,0.77944,0.85253,0.70743,1.83585,0.000622615,0.000622615,0.000622615
59,1575.45,0.53467,0.46895,1.13785,0.96481,0.99632,0.995,0.8145,0.83722,0.69373,1.80215,0.000608468,0.000608468,0.000608468
60,1602.76,0.52952,0.46608,1.10411,0.96793,1,0.995,0.79595,0.88131,0.62464,1.87423,0.000594321,0.000594321,0.000594321
61,1629.95,0.4963,0.45142,1.09585,0.98257,1,0.995,0.79388,0.86779,0.59095,1.87298,0.000580174,0.000580174,0.000580174
62,1657.06,0.50176,0.44577,1.10889,0.98578,1,0.995,0.8118,0.80727,0.57874,1.82032,0.000566027,0.000566027,0.000566027
63,1688.44,0.52569,0.43083,1.10152,0.98259,1,0.995,0.76063,0.95359,0.62243,2.03756,0.00055188,0.00055188,0.00055188
64,1718.68,0.51534,0.46324,1.09421,0.94653,0.99076,0.995,0.75245,0.96837,0.67839,2.06597,0.000537733,0.000537733,0.000537733
65,1745.93,0.50504,0.43556,1.1072,0.9262,0.99127,0.995,0.77791,0.91041,0.63862,2.00997,0.000523586,0.000523586,0.000523586
66,1776.05,0.47593,0.43257,1.09634,0.94975,0.99295,0.995,0.77611,0.92558,0.63256,2.03352,0.000509438,0.000509438,0.000509438
67,1805.72,0.50489,0.43415,1.12638,0.97829,1,0.995,0.75453,0.97639,0.63914,2.15257,0.000495291,0.000495291,0.000495291
68,1837.74,0.48433,0.41786,1.10373,0.9817,1,0.995,0.74348,0.95356,0.63272,2.15276,0.000481144,0.000481144,0.000481144
69,1870.78,0.48038,0.44158,1.11907,0.97733,1,0.995,0.80016,0.92851,0.60888,2.06676,0.000466997,0.000466997,0.000466997
